"lng","lat"
-74.2824862,40.8515243
-81.08650349999999,28.5084729
-96.7386946,32.9087285
-76.6123884,39.2213396
-64.3687695,45.8910294
-98.37457169999999,33.9791541
-115.1829873,36.1462673
-84.4617373,35.6013333
-80.3769999,27.6018976
-92.1155691,30.2688747
-120.8613785,37.5939016
-97.4002872,32.7759515
-117.255854,33.9696912
-81.9425701,27.9581331
-91.2217459,40.8410731
-88.0411993,30.6628121
-122.4778231,49.2095895
-80.223534,43.5284342
-104.7871004,39.69370869999999
-78.6795836,43.17139479999999
-88.5606025,47.0979653
-93.9266502,32.2726022
-71.0200613,42.3695431
-75.45777749999999,39.2081349
-80.34341669999999,25.6201227
-96.78170340000001,50.1710793
-97.8177601,30.5119418
-74.7629661,40.2518754
-119.6267347,36.5441315
-120.9417368,39.3153201
-123.0956872,49.1447187
-81.0092062,35.5142161
-83.8260884,42.9503143
-74.2795524,40.8288978
-94.21283369999999,36.3840171
-80.2432839,26.5907805
-85.01295089999999,34.2409866
-117.2911248,33.7857455
-118.9761519,35.2421103
-71.51304449999999,42.855038
-98.5062007,34.631685
-104.8199999,41.14
-121.7993168,38.0083802
-118.6556478,34.2249609
-122.4184108,37.6531903
-74.3352858,39.7878214
-94.58307889999999,37.1874135
-95.37301760000001,38.9684867
-84.0061661,39.816412
-84.21734029999999,39.703893
-83.7942551,34.1411329
-75.1691305,40.0729157
-119.4845016,49.81868710000001
-82.2528975,27.0600849
-77.0967357,39.1028683
-106.6291304,42.7979846
-76.892648,39.204662
-101.8448368,54.77693259999999
-97.0713572,35.4245273
-111.7376178,40.7060732
-90.2432307,35.1926203
-96.62106109999999,32.3185311
-93.88589549999999,33.444928
-74.1063776,40.9845896
-84.6583745,39.1258197
-90.1682271,31.3311785
-85.9100089,32.94464350000001
-123.0308995,49.2514366
-87.3711477,41.5812093
-111.6768769,41.036056
-106.7529514,32.3001619
-83.2452478,42.2982789
-82.0189155,28.0905324
-78.4524591,40.5203157
-84.3939224,39.5038205
-73.6830521,41.0125894
-74.2583556,39.9618663
-84.9193082,33.7145773
-115.1592718,35.9987358
-89.3795835,40.1640909
-80.2042436,36.105232
-80.7103532,35.2413572
-111.7197315,40.3456087
-82.11695499999999,27.9216909
-82.98241209999999,40.0862602
-84.15406589999999,36.3262043
-112.3099336,40.5916513
-88.2412504,40.1166102
-73.9932872,40.755322
-95.37301760000001,30.1185635
-93.05761989999999,36.1807833
-98.29789509999999,26.308858
-80.2213259,44.5028762
-95.3207069,29.6245936
-79.8856824,36.127028
-122.2143323,37.7729273
-83.2291862,31.0622204
-82.9178838,40.0415191
-79.35834799999999,43.6562694
-75.1691305,40.0729157
-90.6488505,38.70360050000001
-84.87763919999999,32.4559867
-74.3792737,40.4462997
-86.7013894,41.5939193
-101.8003522,49.127375
-118.0068979,34.1574588
-90.6488505,38.70360050000001
-88.21690269999999,41.5174958
-92.4653598,31.2677027
-83.1916937,42.4224755
-80.3435908,26.7727394
-105.1142011,39.892517
-77.665066,37.4470062
-80.5084145,43.5415367
-95.8775964,35.92399169999999
-79.96071239999999,43.2098067
-84.3962535,40.5396595
-121.3198491,38.4943521
-89.68162079999999,30.2278085
-76.60372219999999,39.2994145
-81.0423429,35.2010926
-70.7356619,43.415378
-88.3433623,42.8713325
-83.8685072,43.4157871
-92.6586401,33.7232733
-90.13077969999999,29.8120151
-95.956825,36.1856128
-78.9482694,43.9608263
-117.1147095,33.9206847
-82.0189155,28.0905324
-79.6951103,36.3790421
-118.3140488,33.7349075
-119.6817845,34.433094
-84.25421949999999,30.4305062
-80.33245140000001,36.0564654
-101.8038663,35.1870672
-111.7495419,32.9368054
-157.8182298,21.2700357
-115.0999753,36.266572
-81.4828198,28.5802998
-118.1239717,33.8822393
-80.6659842,35.4989016
-97.70908539999999,30.5184228
-127.5915779,55.247553
-112.256285,33.4895398
-79.7624177,36.0196499
-79.9416549,40.9013998
-70.9844,42.4678076
-90.27139439999999,32.2537549
-84.0378894,31.5124781
-106.4288088,31.8964712
-93.3993751,30.2765349
-98.78116449999999,29.5330493
-84.238417,39.33376
-76.6181655,36.0927193
-90.0279867,29.8930874
-73.3001233,41.3821371
-84.9193082,44.3809026
-75.4546343,45.4761452
-98.5281613,27.6155479
-81.64734399999999,32.1256192
-74.6832189,39.443658
-81.4388858,28.5775287
-70.3270484,43.859184
-86.8421125,34.6228095
-89.1515476,30.4560609
-96.1094632,32.2653344
-84.9193082,35.3059815
-112.3039728,33.6825711
-91.0011902,33.0073604
-119.7541856,36.7949518
-121.8847222,37.2589827
-86.681253,33.4165524
-77.590597,37.4759039
-74.76,40.22
-81.8552196,30.1712245
-82.63754019999999,36.951317
-57.94595619999999,48.939246
-104.8396248,39.7020217
-79.599496,43.5456024
-81.3509416,42.9542158
-93.8451731,30.0798014
-86.3680869,32.4737616
-76.79135579999999,40.2700804
-81.27390729999999,33.9989114
-85.37562489999999,40.1145913
-78.5944718,43.9083566
-72.6092032,42.1521342
-88.57585739999999,37.0100528
-95.8037437,35.9818472
-79.8968798,39.5614707
-84.0801613,33.4988059
-78.9472973,43.8774048
-104.670443,39.5267931
-87.32149079999999,41.47019890000001
-95.68787359999999,31.9112561
-78.8724715,42.8840931
-81.2353612,42.9598744
-80.5549561,40.9635792
-83.1916937,42.4224755
-112.4470275,33.6129195
-122.7705164,47.540416
-73.3767641,40.6821467
-112.3099336,40.5916513
-71.1151431,42.3097365
-114.0406831,48.4398107
-89.83177289999999,30.3203797
-79.7837912,43.1854981
-83.91089680000002,32.5483579
-80.34915989999999,26.0193082
-95.0806918,39.1063191
-81.49379929999999,35.7231549
-73.9888797,40.29470269999999
-91.3276422,31.5758013
-97.47059349999999,32.8447037
-74.6933214,45.5015309
-82.17680179999999,28.2333268
